0.07,0.01,0.00
0.14,0.03,0.00
0.21,0.04,0.00
0.28,0.06,0.01
0.35,0.07,0.01
0.42,0.08,0.02
0.49,0.10,0.02
0.56,0.11,0.03
0.63,0.12,0.03
0.70,0.13,0.04
0.77,0.14,0.05
0.84,0.15,0.06
0.91,0.17,0.07
0.98,0.18,0.08
1.05,0.18,0.09
1.12,0.19,0.10
1.19,0.20,0.11
1.26,0.21,0.12
1.33,0.22,0.13
1.40,0.22,0.15
1.47,0.23,0.16
1.54,0.23,0.17
1.61,0.24,0.18
1.68,0.24,0.20
1.75,0.24,0.21
1.82,0.25,0.23
1.89,0.25,0.24
1.96,0.25,0.25
2.03,0.25,0.27
2.10,0.25,0.28
2.17,0.24,0.30
2.24,0.24,0.31
2.31,0.24,0.32
2.38,0.23,0.34
2.45,0.23,0.35
2.52,0.22,0.36
2.59,0.22,0.37
2.66,0.21,0.39
2.73,0.20,0.40
2.80,0.19,0.41
2.87,0.19,0.42
2.94,0.18,0.43
3.01,0.17,0.44
3.08,0.16,0.45
3.15,0.15,0.46
3.22,0.13,0.47
3.29,0.12,0.47
3.36,0.11,0.48
3.43,0.10,0.49
3.50,0.08,0.49
3.57,0.07,0.50
3.64,0.06,0.50
3.71,0.04,0.50
3.78,0.03,0.51
3.85,0.02,0.51
3.92,0.00,0.51
3.99,-0.01,0.51
4.06,-0.03,0.51
4.13,-0.04,0.51
4.20,-0.05,0.50
4.27,-0.07,0.50
4.34,-0.08,0.50
4.41,-0.09,0.49
4.48,-0.11,0.49
4.55,-0.12,0.48
4.62,-0.13,0.48
4.69,-0.14,0.47
4.76,-0.16,0.46
4.83,-0.17,0.45
4.90,-0.18,0.44
4.97,-0.19,0.43
5.04,-0.20,0.42
5.11,-0.21,0.41
5.18,-0.21,0.40
5.25,-0.22,0.39
5.32,-0.23,0.38
5.39,-0.24,0.37
5.46,-0.24,0.35
5.53,-0.25,0.34
5.60,-0.25,0.33
5.67,-0.25,0.31
5.74,-0.26,0.30
5.81,-0.26,0.29
5.88,-0.26,0.27
5.95,-0.26,0.26
6.02,-0.26,0.24
6.09,-0.26,0.23
6.16,-0.26,0.22
6.23,-0.26,0.20
6.30,-0.25,0.19
6.37,-0.25,0.17
6.44,-0.24,0.16
6.51,-0.24,0.15
6.58,-0.23,0.14
6.65,-0.23,0.12
6.72,-0.22,0.11
6.79,-0.21,0.10
6.86,-0.20,0.09
6.93,-0.19,0.08
7.00,-0.18,0.07
7.07,-0.17,0.06
7.14,-0.16,0.05
7.21,-0.15,0.04
7.28,-0.14,0.04
7.35,-0.13,0.03
7.42,-0.11,0.02
7.49,-0.10,0.02
7.56,-0.09,0.01
7.63,-0.07,0.01
7.70,-0.06,0.01
7.77,-0.05,0.00
7.84,-0.03,0.00
7.91,-0.02,0.00
7.98,-0.00,-0.00
8.05,0.01,0.00
8.12,0.02,0.00
8.19,0.04,0.00
8.26,0.05,0.01
8.33,0.07,0.01
8.40,0.08,0.01
8.47,0.09,0.02
8.54,0.10,0.03
8.61,0.12,0.03
8.68,0.13,0.04
8.75,0.14,0.05
8.82,0.15,0.06
8.89,0.16,0.06
8.96,0.17,0.07
9.03,0.18,0.08
9.10,0.19,0.09
9.17,0.20,0.11
9.24,0.21,0.12
9.31,0.21,0.13
9.38,0.22,0.14
9.45,0.23,0.15
9.52,0.23,0.17
9.59,0.24,0.18
9.66,0.24,0.19
9.73,0.24,0.21
9.80,0.25,0.22
9.87,0.25,0.24
9.94,0.25,0.25
10.01,0.25,0.26
